"search-number","evaluation","maxspeed*","A-prob-harvest*","B-prob-harvest*","nr-repeats*","movement*","A-trust_inequality*","B-trust_inequality*","A-sigma*","B-sigma*","A-sigma2*","B-sigma2*","A-timecrazy*","B-timecrazy*","A-adjustmentrate*","B-adjustmentrate*","A-adjustmentrate_harvest*","B-adjustmentrate_harvest*","shareA*","fitness","num-replicates","best-fitness-so-far"
"1","308","5","0.9","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.56","0.94","0.91","185","156","0.84","0.49","0.9","0.9","0.55","0.7605248543554439","1","0.8162913506311443"
"1","309","5","0.52","0.46","41","""cost-benefit""","6.000000000000001E-4","1.5000000000000001E-4","0.67","0.58","0.67","0.9199999999999999","149","193","0.66","0.25","0.9299999999999999","0.97","0.35","0.7856455647839674","1","0.8162913506311443"
"1","310","5","0.53","0.45","41","""cost-benefit""","5.9E-4","1.1E-4","0.7","0.56","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7687044428556943","1","0.8162913506311443"
"1","311","5","0.74","0.5900000000000001","41","""cost-benefit""","1.0E-5","6.7E-4","0.78","0.56","0.94","0.91","172","208","0.41000000000000003","0.07","0.8300000000000001","0.66","0.53","0.543870199799924","1","0.8162913506311443"
"1","312","5","0.74","0.73","41","""cost-benefit""","4.7000000000000004E-4","1.1E-4","0.7","0.56","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.35","0.7870425786903045","1","0.8162913506311443"
"1","313","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.75","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.8097617538755494","1","0.8162913506311443"
"1","314","5","0.53","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.78","0.56","0.94","0.91","172","208","0.41000000000000003","0.96","0.8300000000000001","0.62","0.53","0.8035917832814613","1","0.8162913506311443"
"1","315","5","0.73","0.7","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.56","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7835827897933623","1","0.8162913506311443"
"1","316","5","0.74","0.8400000000000001","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","1","0.71","0.9199999999999999","219","156","0.84","0.45","0.9","0.9299999999999999","0.52","0.7834572054821748","1","0.8162913506311443"
"1","317","5","0.52","0.46","41","""cost-benefit""","6.000000000000001E-4","1.5000000000000001E-4","0.67","0.58","0.96","0.9199999999999999","206","156","0.84","0.02","0.9299999999999999","0.98","0.35","0.7479886190565557","1","0.8162913506311443"
"1","318","5","0.6000000000000001","0.73","41","""cost-benefit""","1.6E-4","1.1E-4","0.86","0.56","0.94","0.91","149","193","0.61","0.97","0.9","0.9","0.52","0.7848948417986694","1","0.8162913506311443"
"1","319","5","0.74","0.73","41","""cost-benefit""","4.7000000000000004E-4","1.1E-4","0.77","0.56","0.94","0.91","148","193","0.66","0.25","0.9299999999999999","0.98","0.35","0.8089163550427707","1","0.8162913506311443"
"1","320","5","0.9","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.56","0.94","0.91","149","193","0.61","0.3","0.54","0.98","0.42000000000000004","0.681749398113539","1","0.8162913506311443"
"1","321","5","0.9","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.56","0.94","0.91","149","193","0.85","0.49","0.9","0.9299999999999999","0.52","0.7722956935448403","1","0.8162913506311443"
"1","322","5","0.69","0.46","41","""cost-benefit""","6.000000000000001E-4","3.0000000000000003E-4","0.64","0.58","0.96","0.9199999999999999","206","156","0.9","0.25","0.9299999999999999","0.98","0.35","0.7565613267631289","1","0.8162913506311443"
"1","323","5","0.73","0.78","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","0.8400000000000001","0.6799999999999999","0.9199999999999999","206","156","0.84","0.45","0.9","0.9299999999999999","0.52","0.7841400619403598","1","0.8162913506311443"
"1","324","5","0.73","0.78","41","""cost-benefit""","4.1000000000000005E-4","9.0E-5","0.9299999999999999","0.89","0.96","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.35","0.7919807988981652","1","0.8162913506311443"
"1","325","5","0.6000000000000001","0.73","41","""cost-benefit""","1.6E-4","1.1E-4","0.86","0.56","0.94","0.91","149","193","0.8200000000000001","0.49","0.9","0.9299999999999999","0.52","0.7639708841325137","1","0.8162913506311443"
"1","326","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.62","0.96","0.9199999999999999","206","157","0.59","0.3","0.9299999999999999","0.98","0.35","0.7674548239480778","1","0.8162913506311443"
"1","327","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","2.3E-4","0.77","0.56","0.69","0.9199999999999999","203","156","0.52","0.26","0.9299999999999999","0.98","0.35","0.7431115006978872","1","0.8162913506311443"
"1","328","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","6.000000000000001E-5","0.74","1","0.9199999999999999","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.35","0.813063285525016","1","0.8162913506311443"
"1","329","5","0.6000000000000001","0.46","41","""cost-benefit""","4.7000000000000004E-4","3.1E-4","0.65","0.99","0.96","0.9199999999999999","206","156","0.84","0.45","0.9","0.9299999999999999","0.51","0.7753060672502656","1","0.8162913506311443"
"1","330","5","0.5900000000000001","0.46","41","""cost-benefit""","4.7000000000000004E-4","1.9E-4","0.65","0.99","0.96","0.9299999999999999","206","155","0.87","0.45","0.9","0.9299999999999999","0.51","0.7772314732996385","1","0.8162913506311443"
"1","331","5","0.5900000000000001","0.46","41","""cost-benefit""","4.7000000000000004E-4","2.8000000000000003E-4","0.5","0.99","0.71","0.9199999999999999","185","156","0.84","0.79","0.9","0.9299999999999999","0.51","0.7446507926290915","1","0.8162913506311443"
"1","332","5","0.73","0.7","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","1","0.7","0.9199999999999999","203","156","0.84","0.49","0.99","0.8500000000000001","0.44","0.7593766093784162","1","0.8162913506311443"
"1","333","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.59","0.96","0.9199999999999999","206","157","0.84","0.49","0.73","0.9299999999999999","0.52","0.7704507754788882","1","0.8162913506311443"
"1","334","5","0.6000000000000001","0.73","41","""cost-benefit""","2.3E-4","1.1E-4","0.86","0.59","0.94","0.91","149","194","0.61","0.3","0.9299999999999999","0.98","0.35","0.792287278652843","1","0.8162913506311443"
"1","335","5","0.4","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.56","0.94","0.91","149","193","0.66","0.25","0.9299999999999999","0.98","0.35","0.7743092613965425","1","0.8162913506311443"
"1","336","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.56","0.94","0.96","149","174","0.61","0.97","0.9","0.9299999999999999","0.52","0.7539320261929121","1","0.8162913506311443"
"1","337","5","0.74","0.8600000000000001","41","""cost-benefit""","4.7000000000000004E-4","1.1E-4","0.7","0.56","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7679910452224382","1","0.8162913506311443"
"1","338","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","2.3E-4","0.7","0.56","0.94","0.96","149","193","0.61","0.97","0.9","0.9299999999999999","0.52","0.7661234165602561","1","0.8162913506311443"
"1","339","5","0.69","0.46","41","""cost-benefit""","6.000000000000001E-4","3.0000000000000003E-4","0.67","0.58","0.96","0.9199999999999999","224","156","0.84","0.49","0.66","0.9299999999999999","0.52","0.7638428629266625","1","0.8162913506311443"
"1","340","5","0.5900000000000001","0.46","41","""cost-benefit""","4.7000000000000004E-4","2.8000000000000003E-4","0.65","0.99","0.96","0.9199999999999999","217","155","0.84","0.45","0.74","0.9299999999999999","0.51","0.7772467082316956","1","0.8162913506311443"
"1","341","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.55","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7986800680831925","1","0.8162913506311443"
"1","342","5","0.52","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.77","0.51","0.94","0.91","172","208","0.15","0.96","0.8300000000000001","0.66","0.53","0.8069302405236412","1","0.8162913506311443"
"1","343","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.61","0.99","0.96","0.9299999999999999","206","155","0.87","0.45","0.9","0.9299999999999999","0.51","0.7818207682920015","1","0.8162913506311443"
"1","344","5","0.5900000000000001","0.46","41","""cost-benefit""","3.2E-4","1.6E-4","0.81","0.62","0.96","0.9199999999999999","206","157","0.84","0.49","0.9","0.9299999999999999","0.52","0.7812473547510872","1","0.8162913506311443"
"1","345","5","0.74","0.8400000000000001","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","1","0.71","0.9199999999999999","219","156","0.52","0.3","0.9299999999999999","0.98","0.35","0.7686805698678065","1","0.8162913506311443"
"1","346","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","6.000000000000001E-5","0.74","1","0.9199999999999999","0.91","149","192","0.93","0.45","0.91","0.9299999999999999","0.52","0.7756401829134887","1","0.8162913506311443"
"1","347","5","0.69","0.46","41","""cost-benefit""","6.000000000000001E-4","3.0000000000000003E-4","0.64","0.8400000000000001","0.6799999999999999","0.9199999999999999","206","156","0.84","0.45","0.9299999999999999","0.9299999999999999","0.52","0.7701333436918195","1","0.8162913506311443"
"1","348","5","0.73","0.78","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","0.58","0.96","0.9199999999999999","206","156","0.9","0.25","0.9299999999999999","0.98","0.6799999999999999","0.6643833115615672","1","0.8162913506311443"
"1","349","5","0.73","0.78","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","0.89","0.96","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.52","0.7723159260986807","1","0.8162913506311443"
"1","350","5","0.73","0.78","41","""cost-benefit""","4.1000000000000005E-4","9.0E-5","0.9299999999999999","0.79","0.6799999999999999","0.9199999999999999","206","156","0.84","0.45","0.9","0.9299999999999999","0.34","0.740760084686225","1","0.8162913506311443"
"1","351","5","0.52","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.77","0.51","0.9299999999999999","0.91","172","208","0.15","0.96","0.8300000000000001","0.9","0.52","0.7848420385478606","1","0.8162913506311443"
"1","352","5","0.73","0.78","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","0.89","0.6799999999999999","0.9199999999999999","206","156","0.84","0.45","0.9","0.54","0.53","0.6546607555893401","1","0.8162913506311443"
"1","353","5","0.52","0.46","41","""cost-benefit""","6.000000000000001E-4","1.5000000000000001E-4","0.67","0.58","0.96","0.9199999999999999","149","193","0.8200000000000001","0.9","0.9","0.9299999999999999","0.52","0.7624148260955858","1","0.8162913506311443"
"1","354","5","0.6000000000000001","0.73","41","""cost-benefit""","1.6E-4","1.1E-4","0.86","0.56","0.94","0.91","149","193","0.66","0.25","0.9299999999999999","0.97","0.35","0.792819057789042","1","0.8162913506311443"
"1","355","5","0.74","0.5900000000000001","41","""cost-benefit""","5.700000000000001E-4","1.1E-4","0.77","0.59","0.99","0.9199999999999999","206","157","0.84","0.49","0.73","0.9299999999999999","0.52","0.7602252657410098","1","0.8162913506311443"
"1","356","5","0.53","0.46","41","""cost-benefit""","5.9E-4","1.1E-4","0.78","0.56","0.94","0.91","172","215","0.41000000000000003","0.96","0.8300000000000001","0.62","0.53","0.7782169956058542","1","0.8162913506311443"
"1","357","5","0.52","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.77","0.51","0.94","0.91","172","208","0.15","0.96","0.9","0.9299999999999999","0.52","0.6153919238607742","1","0.8162913506311443"
"1","358","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.62","0.96","0.9199999999999999","120","157","0.84","0.49","0.8300000000000001","0.9","0.53","0.682887766759321","1","0.8162913506311443"
"1","359","5","0.54","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.78","0.56","0.94","0.91","172","208","0.41000000000000003","0.96","0.8300000000000001","0.66","0.5","0.7806304068077865","1","0.8162913506311443"
"1","360","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.76","0.75","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.6100000000000001","0.7626177596515257","1","0.8162913506311443"
"1","361","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","1.0E-4","0.9299999999999999","0.64","0.94","0.91","149","193","0.61","0.97","0.8300000000000001","0.66","0.53","0.7423337232152051","1","0.8162913506311443"
"1","362","5","0.52","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.77","0.51","0.94","0.91","175","208","0.15","0.31","0.9299999999999999","0.98","0.42000000000000004","0.5338737003230821","1","0.8162913506311443"
"1","363","5","0.74","0.73","41","""cost-benefit""","4.7000000000000004E-4","1.1E-4","0.77","0.56","0.94","0.91","148","193","0.61","0.3","0.9299999999999999","0.98","0.43000000000000005","0.7841693168767608","1","0.8162913506311443"
"1","364","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.77","0.75","0.94","0.91","149","193","0.66","0.25","0.9299999999999999","0.98","0.35","0.8001094545307087","1","0.8162913506311443"
"1","365","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.55","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.35","0.8026616022108396","1","0.8162913506311443"
"1","366","5","0.78","0.9700000000000001","41","""cost-benefit""","3.7000000000000005E-4","9.0E-5","0.9299999999999999","0.89","0.96","0.88","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.7474302740216682","1","0.8162913506311443"
"1","367","5","0.73","0.78","41","""cost-benefit""","3.7000000000000005E-4","2.2E-4","0.9299999999999999","0.8400000000000001","0.6799999999999999","0.9199999999999999","206","159","0.84","0.17","0.9299999999999999","0.98","0.42000000000000004","0.7735168891798959","1","0.8162913506311443"
"1","368","5","0.73","0.73","41","""cost-benefit""","3.7000000000000005E-4","1.0E-4","0.9299999999999999","0.59","0.94","0.91","149","193","0.61","0.9400000000000001","0.9","0.9299999999999999","0.52","0.782250022378525","1","0.8162913506311443"
"1","369","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.58","0.67","0.9199999999999999","149","193","0.66","0.25","0.7","0.97","0.35","0.7648832114637457","1","0.8162913506311443"
"1","370","5","0.51","0.46","41","""cost-benefit""","6.000000000000001E-4","1.5000000000000001E-4","0.67","0.62","0.71","0.9199999999999999","219","156","0.84","0.45","0.9","0.9299999999999999","0.52","0.7711459862286608","1","0.8162913506311443"
"1","371","5","0.52","0.46","41","""cost-benefit""","4.0E-5","1.1E-4","0.78","0.51","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.6799999999999999","0.7405871693940788","1","0.8162913506311443"
"1","372","5","0.74","0.73","41","""cost-benefit""","4.7000000000000004E-4","1.1E-4","0.7","0.56","0.94","0.91","172","208","0.15","0.96","0.8300000000000001","0.66","0.53","0.7275779132113627","1","0.8162913506311443"
"1","373","5","0.6000000000000001","0.73","41","""cost-benefit""","1.6E-4","1.1E-4","0.86","0.56","0.94","0.91","149","193","0.61","0.33","0.9299999999999999","0.98","0.35","0.7968498658924161","1","0.8162913506311443"
"1","374","5","0.74","0.5900000000000001","41","""cost-benefit""","6.2E-4","6.7E-4","0.77","0.75","0.94","0.91","149","193","0.61","0.97","0.9","0.9","0.52","0.7265594333695811","1","0.8162913506311443"
"1","375","5","0.73","0.65","41","""cost-benefit""","6.2E-4","1.1E-4","0.7","0.51","0.94","0.91","149","193","0.61","0.3","0.9299999999999999","0.98","0.42000000000000004","0.8053510415930961","1","0.8162913506311443"
